objectid,filename,title,creator,description,subject,format,language,rights,date
coll001,pink_pencil_silver_swirls.png,Pink Pencil with Silver Swirls,,"A sharpened wooden pencil decorated with pink paint and silver foil. 4.75""x0.375""x0.375""",writing materials and instruments; pink; silver; brown; wood; paint; foil; metal; graphite,image/png,,Owned by Hemlock Stanier,0
coll002,my_jrnl_is_pink.pdf,My Journal is Pink,"Stanier, Hemlock","An illustrated manuscript journal entry on lined notebook paper contained within Spiral Notebook with Pink Foil Designs. 11""x8.5""",children's writings; journal entry; illustration; manuscript; pink; white; blue; red,application/pdf,eng,Owned by Hemlock Stanier,2008
coll003,sandy_book1.pdf,Sandy book 1,"Stanier, Hemlock","An illustrated manuscript held together by staples. 12 numbered pages. 11""x8.5""x0.25""",children’s writings; friendship; school; sleepovers; manuscript; illustration; pink; yellow; green; white; orange; paper; metal; graphite; felt tip marker,application/pdf,eng,Owned by Hemlock Stanier,2010
coll004,spiral_notebook_with_pink_foil_designs.png,Spiral Notebook with Pink Foil Designs,Continental Accessory Corp. ,"A wide-ruled 70-sheet spiral notebook with a pink foil cover. 11""x8.5""x0.5""",notebooks and sketchbooks; pink; white; paper; plastic; foil,image/png,,Owned by Hemlock Stanier,2008
coll005,spiral_notebook_with_dalmation_puppy.png,Spiral Notebook with Dalmation Puppy,"Innovative Designs, LLC ","A wide-ruled 70-sheet spiral notebook. The cover is a photo of a dalmation puppy wearing pink ribbons on its ears.10.5""x8""x0.5""",notebooks and sketchbooks; animals; butterflies; pink; white; purple; black; paper; plastic ,image/png,,Owned by Hemlock Stanier,0
coll006,spiral_notebook_with_butterflies_and_hearts.png,Spiral Notebook with Butterflies and Hearts,"Innovative Designs, LLC ","A wide-ruled 70-sheet spiral notebook. The cover has multi-colored butterfly and heart designs. 10.5""x8""x0.5""",notebooks and sketchbooks; animals; dogs; red; white; purple; pink; blue; green; black; paper; metal ,image/png,,Owned by Hemlock Stanier,0
coll007,spiral_notebook_with_puppy_wearing_hat.png,Spiral Notebook with Puppy Wearing Hat,"Innovative Designs, LLC ","A wide-ruled 70-sheet spiral notebook. The is a photo of a dog wearing a cap. 10.5""x8""x0.5""",notebooks and sketchbooks; animals; dogs; white; brown; black; blue; paper; plastic; tape,image/png,,Dissero Brands Limited;Owned By Hemlock Stanier,2010
coll008,pencil_with_pink_blue_and_purple_swirls.png,"Pencil with Pink, Blue and Purple Swirls",unknown manufacturer,"A sharpened wooden pencil decorated with pink, blue and purple swirls. 5""x0.375""x0.375""",writing materials and instruments; pink; silver; brown; wood; paint; foil; metal; graphite,image/png,,Owned by Hemlock Stanier,0
coll009,maggie_and_sandy_book2.pdf,Maggie and Sandy book 2,"Stanier, Hemlock","An illustrated manuscript contained within Spiral Notebook with Butterflies and Hearts. 10.5""x8""",children’s writings; friendship; quests; beach; manuscript; illustration,application/pdf,eng,Owned by Hemlock Stanier,0
coll010,sihee_micac_and_suka_book1_the_start.pdf,"Sihee, Micac and Suka book 1 The Start","Stanier, Hemlock","An illustrated manuscript contained within Spiral Notebook with Butterflies and Hearts.10.5""x8""",children's writings; animals; nature; bears; quests; manuscript; illustration,application/pdf,eng,Owned by Hemlock Stanier,0
coll011,i_made_ink.pdf,I Made Ink,"Stanier, Hemlock","An illustrated manuscript journal entry on lined notebook paper contained within Spiral Notebook with Dalmation Puppy. 10.5""x8""",children’s writings; handmade ink; manuscript; journal entry; illustration; white; brown; paper; ink,application/pdf,eng,Owned by Hemlock Stanier,2009
coll012,caleigh_oct_7_2009.pdf,Caleigh Oct 7 2009,"Stanier, Hemlock","A manuscript journal entry on lined notebook paper contained within Spiral Notebook with Dalmation Puppy. 10.5""x8""",children's writings; family; music; school; manuscript; journal entry; white; grey; paper; graphite,application/pdf,eng,Owned by Hemlock Stanier,2009-10-07
coll013,thursday.pdf,Thursday,"Stanier, Hemlock","A manuscript journal entry on lined notebook paper contained within Spiral Notebook with Dalmation Puppy. 10.5""x8""",children's writings; family; nature; manuscript; journal entry; white; black; paper; ink,application/pdf,eng,Owned by Hemlock Stanier,2009-07-02
coll014,all_of_the_seasons.pdf,All of the Seasons,"Stanier, Hemlock","An illustrated manuscript journal entry about seasons on lined notebook paper contained within Spiral Notebook with Pink Foil Designs. 10.5""x8""",children's writings; nature; seasons; manuscript; journal entry; illustration; white; grey; paper; graphite,application/pdf,eng,Owned by Hemlock Stanier,2009
coll015,jewel_fairies.pdf,Jewel Faires,"Stanier, Hemlock","An illustrated manuscript journal entry on lined notebook paper contained within Spiral Notebook with Puppy Wearing Hat. 10.5""x8""",children's writings; nature; fairies; manuscript; journal entry; illustration; white; blue; black; paper; ink,application/pdf,eng,Owned by Hemlock Stanier,2010
